DMA	Date	UTC	City	Region	RegionAbbr	Subregion	Longitude	Latitude	DMA_Search	EST	US_Search	Search
Tulsa OK	2023-02-16	2023-02-17 03:00:00	Tulsa	Oklahoma	OK	Tulsa County	-95.99352	36.15011000000004	2	2023-02-16 22:00:00	100	200
Greensboro-High Point-Winston Salem NC	2023-02-16	2023-02-17 03:00:00	Township of Friendship	North Carolina	NC	Guilford County	-79.93700999999999	36.106130000000064	2	2023-02-16 22:00:00	100	200
Tyler-Longview(Lufkin & Nacogdoches) TX	2023-02-16	2023-02-17 03:00:00	Nacogdoches	Texas	TX	Nacogdoches County	-94.65589999999996	31.60378000000003	2	2023-02-16 22:00:00	100	200
La Crosse-Eau Claire WI	2023-02-16	2023-02-17 03:00:00	Eau Claire	Wisconsin	WI	Eau Claire County	-91.46198630354552	44.76897105875712	2	2023-02-16 22:00:00	100	200
Jackson MS	2023-02-16	2023-02-17 03:00:00	Jackson	Mississippi	MS	Hinds County	-90.18043999999996	32.29896000000008	2	2023-02-16 22:00:00	100	200
New York NY	2023-02-16	2023-02-17 03:00:00	New York	New York	NY	New York County	-74.00711999999999	40.714540000000056	2	2023-02-16 22:00:00	100	200
Las Vegas NV	2023-02-16	2023-02-17 03:00:00	Las Vegas	Nevada	NV	Clark County	-115.14000999999996	36.17193000000003	2	2023-02-16 22:00:00	100	200
Charlottesville VA	2023-02-16	2023-02-17 03:00:00	Charlottesville	Virginia	VA	City of Charlottesville	-78.47755999999998	38.032130000000045	2	2023-02-16 22:00:00	100	200
Austin TX	2023-02-16	2023-02-17 03:00:00	Austin	Texas	TX	Travis County	-97.74298999999996	30.26759000000004	2	2023-02-16 22:00:00	100	200
Dallas-Ft. Worth TX	2023-02-16	2023-02-17 03:00:00	Dallas	Texas	TX	Tarrant County	-97.03982999999994	32.889850000000024	2	2023-02-16 22:00:00	100	200
Tallahassee FL-Thomasville GA	2023-02-16	2023-02-17 03:00:00	Thomasville	Georgia	GA	Thomas County	-83.98791044156097	30.68477418710404	2	2023-02-16 22:00:00	100	200
Columbus-Tupelo-West Point MS	2023-02-16	2023-02-17 03:00:00	West Point	Mississippi	MS	Clay County	-88.65043999999993	33.60651000000007	2	2023-02-16 22:00:00	100	200
Salt Lake City UT	2023-02-16	2023-02-17 03:00:00	Salt Lake City	Utah	UT	Salt Lake County	-111.88822	40.76031000000006	2	2023-02-16 22:00:00	100	200
Green Bay-Appleton WI	2023-02-16	2023-02-17 03:00:00	Appleton	Wisconsin	WI	Outagamie County	-88.38496613956664	44.26672407622406	2	2023-02-16 22:00:00	100	200
Lubbock TX	2023-02-16	2023-02-17 03:00:00	Lubbock	Texas	TX	Lubbock County	-101.84500999999996	33.58451000000008	2	2023-02-16 22:00:00	100	200
Washington DC (Hagerstown MD)	2023-02-16	2023-02-17 03:00:00	Hagerstown	Maryland	MD	Washington County	-77.72770017407683	39.64561007964432	2	2023-02-16 22:00:00	100	200
San Antonio TX	2023-02-16	2023-02-17 03:00:00	San Antonio	Texas	TX	Bexar County	-98.49460999999997	29.42458000000005	2	2023-02-16 22:00:00	100	200
Fresno-Visalia CA	2023-02-16	2023-02-17 03:00:00	Farmersville	California	CA	Tulare County	-119.21050998885028	36.29238015215397	2	2023-02-16 22:00:00	100	200
New Orleans LA	2023-02-16	2023-02-17 03:00:00	New Orleans	Louisiana	LA	Orleans Parish	-90.07774999999998	29.953700000000023	2	2023-02-16 22:00:00	100	200
Anchorage AK	2023-02-16	2023-02-17 03:00:00	Anchorage	Alaska	AK	Municipality of Anchorage	-149.85814999999997	61.21753000000008	2	2023-02-16 22:00:00	100	200
Harlingen-Weslaco-Brownsville-McAllen TX	2023-02-16	2023-02-17 03:00:00	McAllen	Texas	TX	Hidalgo County	-98.22930999999994	26.207700000000045	2	2023-02-16 22:00:00	100	200
Sacramento-Stockton-Modesto CA	2023-02-16	2023-02-17 03:00:00	Stockton	California	CA	San Joaquin County	-121.27113622179256	37.930607075860735	2	2023-02-16 22:00:00	100	200
Birmingham AL	2023-02-16	2023-02-17 03:00:00	Birmingham	Alabama	AL	Jefferson County	-86.81178999999997	33.52072000000004	2	2023-02-16 22:00:00	100	200
El Paso TX	2023-02-16	2023-02-17 03:00:00	El Paso	Texas	TX	El Paso County	-106.48748999999998	31.759160000000065	2	2023-02-16 22:00:00	100	200
Memphis TN	2023-02-16	2023-02-17 03:00:00	Memphis	Tennessee	TN	Shelby County	-90.04924999999997	35.14976000000007	2	2023-02-16 22:00:00	100	200
Lincoln & Hastings-Kearney NE	2023-02-16	2023-02-17 03:00:00	Hastings	Nebraska	NE	Adams County	-98.38526599999992	40.616719000000046	2	2023-02-16 22:00:00	100	200
Yakima-Pasco-Richland-Kennewick WA	2023-02-16	2023-02-17 03:00:00	Finley	Washington	WA	Benton County	-119.06973	46.17291000000006	2	2023-02-16 22:00:00	100	200
Sioux Falls(Mitchell) SD	2023-02-16	2023-02-17 03:00:00	Sioux Falls	South Dakota	SD	Minnehaha County	-96.73127999999996	43.54577000000006	2	2023-02-16 22:00:00	100	200
Palm Springs CA	2023-02-16	2023-02-17 03:00:00	Palm Springs	California	CA	Riverside County	-116.51195999999996	33.823210000000074	2	2023-02-16 22:00:00	100	200
Beaumont-Port Arthur TX	2023-02-16	2023-02-17 03:00:00	Port Arthur	Texas	TX	Jefferson County	-93.94038406517004	29.878026013231256	1	2023-02-16 22:00:00	100	100
Baton Rouge LA	2023-02-16	2023-02-17 03:00:00	Baton Rouge	Louisiana	LA	East Baton Rouge Parish	-91.18663999999995	30.443350000000063	1	2023-02-16 22:00:00	100	100
Burlington VT-Plattsburgh NY	2023-02-16	2023-02-17 03:00:00	Burlington	Vermont	VT	Chittenden County	-73.25744093254113	44.51981909934685	2	2023-02-16 22:00:00	100	200
Salisbury MD	2023-02-16	2023-02-17 03:00:00	Salisbury	Maryland	MD	Wicomico County	-75.59986999999995	38.36551000000002	1	2023-02-16 22:00:00	100	100
Los Angeles CA	2023-02-16	2023-02-17 03:00:00	Los Angeles	California	CA	Los Angeles County	-118.24544999999992	34.05357000000004	1	2023-02-16 22:00:00	100	100
Rockford IL	2023-02-16	2023-02-17 03:00:00	Rockford	Illinois	IL	Winnebago County	-89.07739999999995	42.26690000000008	1	2023-02-16 22:00:00	100	100
Reno NV	2023-02-16	2023-02-17 03:00:00	Reno	Nevada	NV	Washoe County	-119.81352999999996	39.527660000000026	1	2023-02-16 22:00:00	100	100
San Diego CA	2023-02-16	2023-02-17 03:00:00	San Diego	California	CA	San Diego County	-117.16170999999996	32.71568000000008	1	2023-02-16 22:00:00	100	100
Montgomery (Selma) AL	2023-02-16	2023-02-17 03:00:00	Selma	Alabama	AL	Dallas County	-87.03288425718515	32.41221875852521	1	2023-02-16 22:00:00	100	100
Florence-Myrtle Beach SC	2023-02-16	2023-02-17 03:00:00	Myrtle Beach	South Carolina	SC	Horry County	-78.99494599999997	33.67792000000003	1	2023-02-16 22:00:00	100	100
Lafayette LA	2023-02-16	2023-02-17 03:00:00	Lafayette	Louisiana	LA	Lafayette Parish	-92.01704999999998	30.220320000000072	1	2023-02-16 22:00:00	100	100
Santa Barbara-Santa Maria-San Luis Obispo CA	2023-02-16	2023-02-17 03:00:00	Santa Maria	California	CA	Santa Barbara	-120.42950467295438	34.910408369906094	1	2023-02-16 22:00:00	100	100
Eugene OR	2023-02-16	2023-02-17 03:00:00	Eugene	Oregon	OR	Lane County	-123.08836999999994	44.04992000000004	1	2023-02-16 22:00:00	100	100
Shreveport LA	2023-02-16	2023-02-17 03:00:00	Shreveport	Louisiana	LA	Caddo Parish	-93.74688999999996	32.51487000000003	1	2023-02-16 22:00:00	100	100
Presque Isle ME	2023-02-17	2023-02-18 03:00:00	Presque Isle	Maine	ME	Aroostook County	-68.01536999999996	46.68161000000004	100	2023-02-17 22:00:00	76	7600
San Francisco-Oakland-San Jose CA	2023-02-16	2023-02-17 03:00:00	Emeryville	California	CA	Alameda County	-122.3006560569526	37.84698441327769	1	2023-02-16 22:00:00	100	100
Billings, MT	2023-02-17	2023-02-18 03:00:00	Billings	Montana	MT	Yellowstone County	-108.50606999999997	45.78426000000008	54	2023-02-17 22:00:00	76	4104
Miami-Ft. Lauderdale FL	2023-02-16	2023-02-17 03:00:00	Hialeah	Florida	FL	Miami-Dade County	-80.32568199999997	25.90754900000008	1	2023-02-16 22:00:00	100	100
Youngstown OH	2023-02-17	2023-02-18 03:00:00	Youngstown	Ohio	OH	Mahoning County	-80.65078999999997	41.098100000000045	49	2023-02-17 22:00:00	76	3724
Casper-Riverton WY	2023-02-17	2023-02-18 03:00:00	Riverton	Wyoming	WY	Fremont County	-108.36304766184284	43.0829585806312	68	2023-02-17 22:00:00	76	5168
Wheeling WV-Steubenville OH	2023-02-17	2023-02-18 03:00:00	Steubenville	Ohio	OH	Jefferson County	-80.63842999999997	40.36962000000005	45	2023-02-17 22:00:00	76	3420
Erie PA	2023-02-17	2023-02-18 03:00:00	Erie	Pennsylvania	PA	Erie County	-80.08549999999997	42.129820000000045	38	2023-02-17 22:00:00	76	2888
Lima OH	2023-02-17	2023-02-18 03:00:00	Lima	Ohio	OH	Allen County	-84.10744999999997	40.74269000000004	37	2023-02-17 22:00:00	76	2812
Minot-Bismarck-Dickinson(Williston) ND	2023-02-17	2023-02-18 03:00:00	Williston	North Dakota	ND	Williams County	-103.62186999999994	48.14704000000006	48	2023-02-17 22:00:00	76	3648
Clarksburg-Weston WV	2023-02-17	2023-02-18 03:00:00	Clarksburg	West Virginia	WV	Harrison County	-80.34016999999993	39.27944000000008	40	2023-02-17 22:00:00	76	3040
Pittsburgh PA	2023-02-17	2023-02-18 03:00:00	Pittsburgh	Pennsylvania	PA	Allegheny County	-79.99733999999995	40.43851000000007	28	2023-02-17 22:00:00	76	2128
