DMA	UTC	City	Region	RegionAbbr	Subregion	Longitude	Latitude	DMA_Search	EST	US_Search	Search
Biloxi-Gulfport MS	2023-02-11 02	Gulfport	Mississippi	MS	Harrison County	-89.09188999999996	30.38032000000004	5	2023-02-10 21:00:00	20	100
Waco-Temple-Bryan TX	2023-02-11 02	Bryan	Texas	TX	Brazos County	-96.36367641045288	30.688316939527848	5	2023-02-10 21:00:00	20	100
Tyler-Longview(Lufkin & Nacogdoches) TX	2023-02-11 02	Nacogdoches	Texas	TX	Nacogdoches County	-94.65589999999996	31.60378000000003	5	2023-02-10 21:00:00	20	100
Eugene OR	2023-02-11 02	Eugene	Oregon	OR	Lane County	-123.08836999999994	44.04992000000004	5	2023-02-10 21:00:00	20	100
Traverse City-Cadillac MI	2023-02-11 02	Traverse City	Michigan	MI	Grand Traverse County	-85.59611399999993	44.743381000000056	5	2023-02-10 21:00:00	20	100
Binghamton NY	2023-02-11 02	Binghamton	New York	NY	Broome County	-75.91128999999995	42.09871000000004	8	2023-02-10 21:00:00	20	160
Champaign & Springfield-Decatur IL	2023-02-11 02	Springfield	Illinois	IL	Sangamon County	-89.64715339040946	39.837449984549295	3	2023-02-10 21:00:00	20	60
Burlington VT-Plattsburgh NY	2023-02-11 02	Burlington	Vermont	VT	Chittenden County	-73.25744093254113	44.51981909934685	5	2023-02-10 21:00:00	20	100
Terre Haute IN	2023-02-11 02	Terre Haute	Indiana	IN	Vigo County	-87.41300999999999	39.46649000000008	9	2023-02-10 21:00:00	20	180
Alpena MI	2023-02-11 02	Alpena	Michigan	MI	Alpena County	-83.44514999999996	45.06156000000004	100	2023-02-10 21:00:00	20	2000
Helena MT	2023-02-11 02	Helena	Montana	MT	Lewis and Clark County	-112.02064999999996	46.58976000000007	50	2023-02-10 21:00:00	20	1000
Meridian MS	2023-02-11 02	Meridian	Mississippi	MS	Lauderdale County	-88.70307999999994	32.365080000000034	20	2023-02-10 21:00:00	20	400
Butte-Bozeman MT	2023-02-11 02	Bozeman	Montana	MT	Gallatin County	-111.03221999999992	45.67934000000008	16	2023-02-10 21:00:00	20	320
Idaho Falls-Pocatello ID	2023-02-11 02	Pocatello	Idaho	ID	Bannock County	-112.44707000002782	42.85455884157094	10	2023-02-10 21:00:00	20	200
Jackson TN	2023-02-11 02	Jackson	Tennessee	TN	Madison County	-88.81939999999997	35.61390000000006	15	2023-02-10 21:00:00	20	300
Laredo TX	2023-02-11 02	Laredo	Texas	TX	Webb County	-99.50230999999997	27.53092000000004	15	2023-02-10 21:00:00	20	300
Clarksburg-Weston WV	2023-02-11 02	Clarksburg	West Virginia	WV	Harrison County	-80.34016999999993	39.27944000000008	39	2023-02-10 21:00:00	20	780
Madison WI	2023-02-11 02	Lafayette	Indiana	IN	Tippecanoe County	-86.87597999999997	40.41738000000004	14	2023-02-10 21:00:00	20	280
Lafayette IN	2023-02-11 02	Township of Friendship	North Carolina	NC	Guilford County	-79.93700999999999	36.106130000000064	5	2023-02-10 21:00:00	20	100
Albany GA	2023-02-11 03	Madison	Wisconsin	WI	Dane County	-89.38643999999994	43.07313000000005	3	2023-02-10 22:00:00	16	48
Utica NY	2023-02-11 03	Albany	Georgia	GA	Dougherty County	-84.15601999999996	31.58140000000003	15	2023-02-10 22:00:00	16	240
Presque Isle ME	2023-02-11 03	Utica	New York	NY	Oneida County	-75.24257999999996	43.09589000000005	14	2023-02-10 22:00:00	16	224
South Bend-Elkhart IN	2023-02-11 03	Presque Isle	Maine	ME	Aroostook County	-68.01536999999996	46.68161000000004	100	2023-02-10 22:00:00	16	1600
Victoria TX	2023-02-11 03	Elkhart	Indiana	IN	Elkhart County	-85.99435542791646	41.67823591497595	14	2023-02-10 22:00:00	16	224
Parkersburg WV	2023-02-11 03	Victoria	Texas	TX	Victoria County	-97.00356999999995	28.80594000000008	25	2023-02-10 22:00:00	16	400
Wausau-Rhinelander WI	2023-02-11 03	Parkersburg	West Virginia	WV	Wood County	-81.55856999999997	39.26372000000004	24	2023-02-10 22:00:00	16	384
Greensboro-High Point-Winston Salem NC	2023-02-11 03	Rhinelander	Wisconsin	WI	Oneida County	-89.52343390348499	45.607513411484646	13	2023-02-10 22:00:00	16	208
Evansville IN	2023-02-11 03	Evansville	Indiana	IN	Vanderburgh County	-87.56404999999995	37.97708000000006	3	2023-02-10 22:00:00	16	48
Watertown NY	2023-02-11 03	Watertown	New York	NY	Jefferson County	-75.91427999999996	43.97586000000008	16	2023-02-10 22:00:00	16	256
Erie PA	2023-02-11 03	Erie	Pennsylvania	PA	Erie County	-80.08549999999997	42.129820000000045	17	2023-02-10 22:00:00	16	272
Hattiesburg-Laurel MS	2023-02-11 03	Hattiesburg	Mississippi	MS	Forrest County	-89.33815899999996	31.325233000000026	54	2023-02-10 22:00:00	16	864
Lake Charles LA	2023-02-11 03	Lake Charles	Louisiana	LA	Calcasieu Parish	-93.22010999999996	30.224030000000027	12	2023-02-10 22:00:00	16	192
Charlotte NC	2023-02-11 03	Charlotte	North Carolina	NC	Mecklenburg County	-80.83795999999995	35.222860000000026	3	2023-02-10 22:00:00	16	48
Ft. Smith-Fayetteville-Springdale-Rogers AR	2023-02-11 03	Springdale	Arkansas	AR	Washington County	-94.1037260045514	36.17115248366951	2	2023-02-10 22:00:00	16	32
Portland-Auburn ME	2023-02-11 03	Auburn	Maine	ME	Androscoggin County	-70.28306819934934	44.021514101683046	8	2023-02-10 22:00:00	16	128
Savannah GA	2023-02-11 03	Savannah	Georgia	GA	Chatham County	-81.09118999999998	32.080910000000074	9	2023-02-10 22:00:00	16	144
Albuquerque-Santa Fe NM	2023-02-11 03	Albuquerque	New Mexico	NM	Bernalillo County	-106.57998499999997	35.088640000000055	2	2023-02-10 22:00:00	16	32
Huntsville-Decatur (Florence) AL	2023-02-11 03	Florence	Alabama	AL	Lauderdale County	-87.60946000814877	34.835329994016945	2	2023-02-10 22:00:00	16	32
Austin TX	2023-02-11 03	Austin	Texas	TX	Travis County	-97.74298999999996	30.26759000000004	1	2023-02-10 22:00:00	16	16
Memphis TN	2023-02-11 03	Memphis	Tennessee	TN	Shelby County	-90.04924999999997	35.14976000000007	1	2023-02-10 22:00:00	16	16
Yakima-Pasco-Richland-Kennewick WA	2023-02-11 03	Finley	Washington	WA	Benton County	-119.06973	46.17291000000006	2	2023-02-10 22:00:00	16	32
Chattanooga TN	2023-02-11 03	Chattanooga	Tennessee	TN	Hamilton County	-85.30946999999996	35.04672000000005	3	2023-02-10 22:00:00	16	48
Salt Lake City UT	2023-02-11 03	Salt Lake City	Utah	UT	Salt Lake County	-111.88822	40.76031000000006	1	2023-02-10 22:00:00	16	16
Cleveland-Akron (Canton) OH	2023-02-11 03	Canton	Ohio	OH	Stark County	-81.38800503285043	40.77287999716256	1	2023-02-10 22:00:00	16	16
Peoria-Bloomington IL	2023-02-11 03	Bloomington	Illinois	IL	McLean County	-88.99772999999999	40.485460000000046	4	2023-02-10 22:00:00	16	64
Chico-Redding CA	2023-02-11 03	Redding	California	CA	Shasta County	-122.39248999999997	40.58762000000007	4	2023-02-10 22:00:00	16	64
Richmond-Petersburg VA	2023-02-11 03	Petersburg	Virginia	VA	City of Petersburg	-77.3686188360574	37.23828377309041	3	2023-02-10 22:00:00	16	48
Portland OR	2023-02-11 03	Portland	Oregon	OR	Multnomah County	-122.67562999999996	45.51179000000008	1	2023-02-10 22:00:00	16	16
Jackson TN	2023-02-11 03	Selma	Alabama	AL	Dallas County	-87.03288425718515	32.41221875852521	4	2023-02-10 22:00:00	16	64
Rapid City SD	2023-02-11 03	Monroe	Ohio	OH	Preble County	-84.67633999999998	39.88727000000006	7	2023-02-10 22:00:00	16	112
Montgomery (Selma) AL	2023-02-11 03	Hagerstown	Maryland	MD	Washington County	-77.72770017407683	39.64561007964432	1	2023-02-10 22:00:00	16	16
Monroe LA-El Dorado AR	2023-02-11 04	Jackson	Tennessee	TN	Madison County	-88.81939999999997	35.61390000000006	9	2023-02-10 23:00:00	0	0
Traverse City-Cadillac MI	2023-02-11 04	Rapid City	South Dakota	SD	Pennington County	-103.23079999999996	44.08146000000005	8	2023-02-10 23:00:00	0	0
Laredo TX	2023-02-11 04	Traverse City	Michigan	MI	Grand Traverse County	-85.59611399999993	44.743381000000056	8	2023-02-10 23:00:00	0	0
Hattiesburg-Laurel MS	2023-02-11 04	Laredo	Texas	TX	Webb County	-99.50230999999997	27.53092000000004	6	2023-02-10 23:00:00	0	0
Washington DC (Hagerstown MD)	2023-02-11 04	Hattiesburg	Mississippi	MS	Forrest County	-89.33815899999996	31.325233000000026	6	2023-02-10 23:00:00	0	0
Minot-Bismarck-Dickinson(Williston) ND	2023-02-11 04	Williston	North Dakota	ND	Williams County	-103.62186999999994	48.14704000000006	7	2023-02-10 23:00:00	0	0
Lansing MI	2023-02-11 04	Lansing	Michigan	MI	Ingham County	-84.55224999999997	42.73194000000007	5	2023-02-10 23:00:00	0	0
Yakima-Pasco-Richland-Kennewick WA	2023-02-11 04	Finley	Washington	WA	Benton County	-119.06973	46.17291000000006	6	2023-02-10 23:00:00	0	0
Eureka CA	2023-02-11 04	Eureka	California	CA	Humboldt County	-124.15952999999996	40.803270000000055	10	2023-02-10 23:00:00	0	0
Dayton OH	2023-02-11 04	Dayton	Ohio	OH	Montgomery County	-84.19380999999998	39.75920000000008	3	2023-02-10 23:00:00	0	0
Knoxville TN	2023-02-11 04	Knoxville	Tennessee	TN	Knox County	-83.92102999999997	35.960680000000025	4	2023-02-10 23:00:00	0	0
Charlottesville VA	2023-02-11 04	Charlottesville	Virginia	VA	City of Charlottesville	-78.47755999999998	38.032130000000045	3	2023-02-10 23:00:00	0	0
Toledo OH	2023-02-11 04	Toledo	Ohio	OH	Lucas County	-83.53673999999995	41.65404000000007	5	2023-02-10 23:00:00	0	0
Charleston-Huntington WV	2023-02-11 04	Huntington	West Virginia	WV	Cabell County	-82.41917368177556	38.41415102368572	4	2023-02-10 23:00:00	0	0
Wichita-Hutchinson KS	2023-02-11 04	Hutchinson	Kansas	KS	Reno County	-97.84744978200544	38.148354836871526	3	2023-02-10 23:00:00	0	0
Salisbury MD	2023-02-11 04	Salisbury	Maryland	MD	Wicomico County	-75.59986999999995	38.36551000000002	12	2023-02-10 23:00:00	0	0
La Crosse-Eau Claire WI	2023-02-11 04	Eau Claire	Wisconsin	WI	Eau Claire County	-91.46198630354552	44.76897105875712	5	2023-02-10 23:00:00	0	0
Victoria TX	2023-02-11 04	Victoria	Texas	TX	Victoria County	-97.00356999999995	28.80594000000008	100	2023-02-10 23:00:00	0	0
St. Joseph MO	2023-02-11 04	St Joseph	Missouri	MO	Buchanan County	-94.85607	39.76660000000004	24	2023-02-10 23:00:00	0	0
Lafayette IN	2023-02-11 04	Lafayette	Indiana	IN	Tippecanoe County	-86.87597999999997	40.41738000000004	15	2023-02-10 23:00:00	0	0
Roanoke-Lynchburg VA	2023-02-11 04	Vinton	Virginia	VA	Roanoke County	-79.89874899999995	37.28095200000007	3	2023-02-10 23:00:00	0	0
Sioux Falls(Mitchell) SD	2023-02-11 04	Sioux Falls	South Dakota	SD	Minnehaha County	-96.73127999999996	43.54577000000006	11	2023-02-10 23:00:00	0	0
Johnstown-Altoona PA	2023-02-11 04	Altoona	Pennsylvania	PA	Blair County	-78.32129695025407	40.52020954635128	4	2023-02-10 23:00:00	0	0
Milwaukee WI	2023-02-11 04	Milwaukee	Wisconsin	WI	Milwaukee County	-87.90689999999995	43.04223000000008	1	2023-02-10 23:00:00	0	0
San Antonio TX	2023-02-11 04	San Antonio	Texas	TX	Bexar County	-98.49460999999997	29.42458000000005	1	2023-02-10 23:00:00	0	0
Nashville TN	2023-02-11 04	Nashville	Tennessee	TN	Davidson County	-86.77815999999996	36.16784000000007	1	2023-02-10 23:00:00	0	0
Pittsburgh PA	2023-02-11 04	Pittsburgh	Pennsylvania	PA	Allegheny County	-79.99733999999995	40.43851000000007	1	2023-02-10 23:00:00	0	0
Grand Rapids-Kalamazoo-Battle Creek MI	2023-02-11 04	Battle Creek	Michigan	MI	Calhoun County	-85.18682211214454	42.32892060475615	2	2023-02-10 23:00:00	0	0
Boston MA-Manchester NH	2023-02-11 04	Manchester	New Hampshire	NH	Hillsborough County	-71.47493182459515	43.029593346961455	1	2023-02-10 23:00:00	0	0
Reno NV	2023-02-11 04	Reno	Nevada	NV	Washoe County	-119.81352999999996	39.527660000000026	2	2023-02-10 23:00:00	0	0
Norfolk-Portsmouth-Newport News VA	2023-02-11 04	Portsmouth	Rhode Island	RI	Newport	-71.25359999999995	41.58999000000006	1	2023-02-10 23:00:00	0	0
Ft. Myers-Naples FL	2023-02-11 04	Fort Myers	Florida	FL	Lee County	-81.87043099999994	26.52099800000008	3	2023-02-10 23:00:00	0	0
Bowling Green KY	2023-02-11 04	Bowling Green	Kentucky	KY	Warren County	-86.44557999999995	36.99462000000005	12	2023-02-10 23:00:00	0	0
Elmira NY	2023-02-11 04	Elmira	New York	NY	Chemung County	-76.79892999999998	42.090640000000064	11	2023-02-10 23:00:00	0	0
Lexington KY	2023-02-11 04	Plainville	Connecticut	CT	Hartford County	-72.88918499503713	41.686260009504046	2	2023-02-10 23:00:00	0	0
Albany GA	2023-02-11 04	Nacogdoches	Texas	TX	Nacogdoches County	-94.65589999999996	31.60378000000003	3	2023-02-10 23:00:00	0	0
Jackson MS	2023-02-11 05	Lexington	Kentucky	KY	Fayette County	-84.50032	38.04859000000005	5	2023-02-11 00:00:00	39	195
Juneau AK	2023-02-11 05	Albany	Georgia	GA	Dougherty County	-84.15601999999996	31.58140000000003	15	2023-02-11 00:00:00	39	585
Elmira NY	2023-02-11 05	Jackson	Mississippi	MS	Hinds County	-90.18043999999996	32.29896000000008	30	2023-02-11 00:00:00	39	1170
Erie PA	2023-02-11 05	Juneau	Alaska	AK	City and Borough of Juneau	-134.40678999999994	58.29973000000008	29	2023-02-11 00:00:00	39	1131
Rapid City SD	2023-02-11 05	Elmira	New York	NY	Chemung County	-76.79892999999998	42.090640000000064	32	2023-02-11 00:00:00	39	1248
Lafayette IN	2023-02-11 05	Erie	Pennsylvania	PA	Erie County	-80.08549999999997	42.129820000000045	28	2023-02-11 00:00:00	39	1092
Beaumont-Port Arthur TX	2023-02-11 05	Rapid City	South Dakota	SD	Pennington County	-103.23079999999996	44.08146000000005	26	2023-02-11 00:00:00	39	1014
Utica NY	2023-02-11 05	Lafayette	Indiana	IN	Tippecanoe County	-86.87597999999997	40.41738000000004	29	2023-02-11 00:00:00	39	1131
Terre Haute IN	2023-02-11 05	Port Arthur	Texas	TX	Jefferson County	-93.94038406517004	29.878026013231256	26	2023-02-11 00:00:00	39	1014
Fairbanks AK	2023-02-11 05	Utica	New York	NY	Oneida County	-75.24257999999996	43.09589000000005	23	2023-02-11 00:00:00	39	897
