Id	CreateTime	Title	Comment	Play	Share	Dig	Duration	AuthorId	AuthorFollower	AuthorHeart	AuthorVideoCount	Day	Keyword
7197166765598641450	2023-02-06 22:02:58	Controlled explosion of derailed train. #eastpalestine #eastpalestineohio 	623	266400	615	9582	27	6606733169637588997	7455	1900000	7	20230206	OhioTrainCrash
7197262038920351022	2023-02-07 04:12:38	Feb. 3rd a Train derailed in East Palestine, Ohio  Im losing everything 😔 #fyp #train #derailed #eastpalestine #trainaccident #greenscreen 	146	85300	95	1626	32	6590521154318352389	1734	78300	45	20230207	OhioTrainCrash
7197262870793473322	2023-02-07 04:15:53	I’ve been away from TikTok dealing with some family things, but I had to come back to talk about this massive environmental disaster. #eastpalestine #eastpalestineohio #trainderailed #trainderailment #norfolksouthern #railway #chemicalspill #explosion #pittsburgh #pennsylvania #westernpa #greenscreen 	10100	7500000	73700	679500	175	6742947452208514054	283700	4900000	323	20230207	OhioTrainCrash
7198042708026477867	2023-02-09 06:42:50	Dewine’s phone went off with the emergency alert sound in the middle of it😅 #eastpalestine #eastpalestineohio #trainderailed #trainderailment #norfolksouthern #railway #chemicalspill #explosion #pittsburgh #pennsylvania #westernpa #beavercountypa #lawrencecountypa #akron #cleveland #uscsb #environmentaldisaster 	2473	832900	4209	109700	170	6742947452208514054	283700	4900000	323	20230209	OhioTrainCrash
7198218725303029034	2023-02-09 18:05:24	A reporter for NewsNation was arrested at the scene of a Gov. Mike DeWine press conference in Ohio on February 8. Correspondent Evan Lambert was reportedly conducting a live hit segment for the NewsNation program ‘Rush Hour’ about continued updates to the dangerous train derailment in East Palestine, OH. Per NewsNation, ‘Lambert finished the live report but was then asked to leave by authorities, who tried to forcibly remove him from the event.’ Lambert now faces disorderly conduct and criminal trespassing charges. #ohio #train #news #reporter #arrested 	13200	3000000	19300	264300	41	6650201683875299333	5900000	210400000	2127	20230209	OhioTrainCrash
7198389355986177322	2023-02-10 05:07:31	animals are də@d. the local news is downplaying it. the area of effect is chillingly large. and everyone in the country needs to be watching. #ohio #ohiotraincrash #train #traincrash #chernobyl #whitenoise #trending #news #fyp #foryou #fyppppppppppppppppppppppp #help #breakingnews 	3218	737200	3224	109200	54	6858760230177866758	59000	1500000	510	20230210	OhioTrainCrash
7198591640582294827	2023-02-10 18:12:27	#ohiotraincrash #citizentrain #ohio #EPAhasnoballs Attention anyone within 75 miles of the East Palestine train disaster. Do this now and often. We need receipts. Steel Mills and Coal Mines and Fracking companies have all killed our families and environment and had no consequences. This railroad disaster will kill more. Our kids will die young of cancer. We must stand together and get evidence. Big Republican government and a castrated EPA will not help us. Documentation and them knowing we are documenting is the best tool to make them do better. Power in the people. This isn't some bankrupt company. This is a multi million annual profits at the cost of our lives company. Share and do this.	329	209900	331	8991	59	6719248641594721285	504	9391	50	20230210	OhioTrainCrash
7198639325066579246	2023-02-10 21:17:22	After officials completed a controlled release of a toxic chemical from a derailed #train in #Ohio, residents ordered to evacuate from the area were allowed to return.	481	426600	1655	14000	38	6652774777768427525	4100000	166700000	1592	20230210	OhioTrainCrash
7198669949018279214	2023-02-10 23:16:11	This is an absolute disaster and its being downplayed and under-reported. Mother Gaia does not deserve this and the people of Ohio dont deserve this. #ohio #ohiotraincrash #environmentalprotection #airquality #theplanetisonfire #trainwreck #fyp #currentevents 	1209	460300	2236	55600	43	6768957056949126150	24700	1300000	302	20230210	OhioTrainCrash
7198783265401031982	2023-02-11 06:36:10	#ohio #pennsylvania #traincrash #toxicfumes #acidrain 	58	42100	144	808	81	7084614904539300907	237	3035	15	20230211	OhioTrainCrash
